# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
3.7980282; 14.8505100; 0.8873369; 1.1126631; -0.8429624; 0.5379726; 0.4095054; 35.3378208; 2.5669982; 0.1377440; 4.4591324; 0.5134880
3.6332759; 14.5842207; 0.8640960; 1.1359040; -0.8575911; 0.5143321; 0.4107551; 35.6623865; 2.5945272; 0.1377497; 4.4820905; 0.4112271
3.4754258; 14.3127447; 0.8563553; 1.1436447; -0.8711469; 0.4910225; 0.4063553; 35.9874919; 2.6496631; 0.1381475; 4.5153508; 0.1675630
3.3243589; 14.0362982; 0.8543730; 1.1456270; -0.8836788; 0.4680938; 0.3959544; 36.3131984; 2.7049720; 0.1385799; 4.5275462; 0.0017875
3.1799564; 13.7550971; 0.8595039; 1.1404961; -0.8952382; 0.4455879; 0.3791919; 36.6395749; 2.7326857; 0.1387297; 4.5276251; -0.0863448
3.0420995; 13.4693577; 0.8752804; 1.1247196; -0.9058774; 0.4235401; 0.3557143; 36.9666999; 2.7881960; 0.1389492; 4.5180424; -0.2180684
2.9106694; 13.1792960; 0.8960260; 1.1039740; -0.9156502; 0.4019760; 0.3251723; 37.2946644; 2.8437701; 0.1391771; 4.4975995; -0.2779213
2.7855472; 12.8851282; 0.9255626; 1.0744374; -0.9246059; 0.3809251; 0.2872108; 37.6235705; 2.8716077; 0.1393161; 4.4852312; -0.3034346
2.6666141; 12.5870703; 0.9633348; 1.0366652; -0.9328083; 0.3603728; 0.2414660; 37.9535484; 2.9273339; 0.1391977; 4.4564590; -0.5575161
2.5537513; 12.2853385; 1.0063399; 0.9936601; -0.9402648; 0.3404441; 0.1876674; 38.2846954; 2.9819484; 0.1373723; 4.3994998; -0.8717155
2.4471526; 11.9803928; 1.0590018; 0.9409982; -0.9478161; 0.3188175; 0.1258517; 38.6171327; 3.0101384; 0.1448498; 4.3597155; -0.8749506
2.3486206; 11.6739478; 1.1201382; 0.8798618; -0.9562825; 0.2924443; 0.0565568; 38.9488758; 3.0711805; 0.1612503; 4.2789066; -0.8733360
2.2604740; 11.3681212; 1.1780786; 0.8219214; -0.9655228; 0.2603184; -0.0190157; 39.2766096; 3.1043399; 0.1703846; 4.2379140; -0.6132856
2.1850317; 11.0650304; 1.2004903; 0.7995097; -0.9751989; 0.2213305; -0.0990636; 39.5967335; -3.1070337; 0.1894113; 4.1918187; -0.3640726
2.1246128; 10.7667930; 1.1597101; 0.8402899; -0.9847505; 0.1739724; -0.1807782; 39.9052568; -3.0286127; 0.2008905; 4.1568262; -0.3712867
2.0815361; 10.4755268; 1.0834424; 0.9165576; -0.9932057; 0.1163719; -0.2601598; 40.1977778; -2.9883340; 0.2052663; 4.1389344; -0.3785208
2.0581208; 10.1933492; 1.0309711; 0.9690289; -0.9989327; 0.0461901; -0.3322003; 40.4697021; -2.9474256; 0.1987220; 4.1206140; -0.3815647
2.0566857; 9.9223779; 0.9931440; 1.0068560; -0.9992434; -0.0388935; -0.3911953; 40.7169431; -2.8743585; 0.1577221; 4.0833393; -0.3794434
2.0795498; 9.6647305; 0.9883695; 1.0116305; -0.9898734; -0.1419533; -0.4318954; 40.9367103; -2.8485495; 0.0922739; 4.0647229; -0.3562123
2.1285040; 9.4220637; 1.0038638; 0.9961362; -0.9672552; -0.2538059; -0.4512204; 41.1348084; -2.8422375; -0.0175056; 4.0471684; -0.2999485
2.2023967; 9.1934665; 1.0537337; 0.9462663; -0.9330676; -0.3597011; -0.4484156; 41.3250167; -2.8478138; -0.0245898; 4.0323273; -0.2117193
2.2990578; 8.9771389; 1.1085647; 0.8914353; -0.8911608; -0.4536876; -0.4238300; 41.5186174; -2.8479896; 0.0299015; 4.0218188; -0.0944234
2.4163160; 8.7712802; 1.1713787; 0.8286213; -0.8459818; -0.5332118; -0.3786213; 41.7238050; -2.8351894; 0.0962981; 4.0171233; 0.0465890
2.5520002; 8.5740895; 1.2025904; 0.7974096; -0.8018318; -0.5975498; -0.3153805; 41.9452163; -2.8103114; 0.1476060; 4.0194407; 0.2138539
2.7039391; 8.3837660; 1.1952604; 0.8047396; -0.7619912; -0.6475874; -0.2385225; 42.1836580; -2.7771440; 0.1817803; 4.0300614; 0.4323061
2.8699616; 8.1985087; 1.1901010; 0.8098990; -0.7285971; -0.6849426; -0.1538477; 42.4370668; -2.7393097; 0.1982702; 4.0514460; 0.5968578
3.0478964; 8.0165169; 1.1869592; 0.8130408; -0.7028087; -0.7113789; -0.0674995; 42.7019035; -2.6576776; 0.2012402; 4.1016059; 1.1669517
